strategy_name,strategy_version,symbol,timeframe,model_type,model_version,feature_version,label_version,dataset_checksum,gate_version,config_hash,code_commit,status,total_oos_trades,mean_oos_sharpe,worst_fold_drawdown_pct,aggregate_net_profit,reasons,generated_at,expires_at
aggressive_regime,1.0.0,BTC/USDT,1d,RULE_BASED_MULTI_AGENT,n/a,standard_v1,meta_label_v1,1ae98d22e7469f0ffee99f04991979832a0c8d11d55ef5280742626369edae1b,gate_v1,875ef99b96e13d94f060b2aff45de4a0d2f0c014b4cc01e4cfdd3f622663f711,e223ac4563e55cbda15b26ea5023a3c6c0f47728,ASSET_SPECIFIC_APPROVED,40,0.6217,1.958480215014981779101231089,2352.698103480090000000,,2026-07-23T13:41:38.751852+00:00,2026-08-22T13:41:38.751852+00:00
aggressive_regime,1.0.0,ETH/USDT,1d,RULE_BASED_MULTI_AGENT,n/a,standard_v1,meta_label_v1,89204a8e564e26781b5a9546f20d209174838a3bbf8a65f7b5f363a580a2d7e3,gate_v1,875ef99b96e13d94f060b2aff45de4a0d2f0c014b4cc01e4cfdd3f622663f711,e223ac4563e55cbda15b26ea5023a3c6c0f47728,REJECTED,47,-0.02853333333333333333333333333,2.243861066259568704869468537,-132.757610014735000000,MEAN_OOS_SHARPE_BELOW_MIN:-0.02853333333333333333333333333<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-132.757610014735000000,2026-07-23T13:41:38.751852+00:00,
baseline,1.0.0,BTC/USDT,1d,RULE_BASED_MULTI_AGENT,n/a,standard_v1,meta_label_v1,1ae98d22e7469f0ffee99f04991979832a0c8d11d55ef5280742626369edae1b,gate_v1,c63e557c0481f3579aa7685b5b0456e124d89e0cba093820bd401776049c85a6,e223ac4563e55cbda15b26ea5023a3c6c0f47728,ASSET_SPECIFIC_APPROVED,35,0.7635333333333333333333333333,1.814306822600813584767665450,2857.930963028355000000,,2026-07-23T13:41:38.751852+00:00,2026-08-22T13:41:38.751852+00:00
baseline,1.0.0,ETH/USDT,1d,RULE_BASED_MULTI_AGENT,n/a,standard_v1,meta_label_v1,89204a8e564e26781b5a9546f20d209174838a3bbf8a65f7b5f363a580a2d7e3,gate_v1,c63e557c0481f3579aa7685b5b0456e124d89e0cba093820bd401776049c85a6,e223ac4563e55cbda15b26ea5023a3c6c0f47728,REJECTED,38,-0.4059333333333333333333333333,1.90957109850186000,-1184.026970340860000000,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4059333333333333333333333333<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1184.026970340860000000,2026-07-23T13:41:38.751852+00:00,
breakout_sensitive,1.0.0,BTC/USDT,1d,RULE_BASED_MULTI_AGENT,n/a,standard_v1,meta_label_v1,1ae98d22e7469f0ffee99f04991979832a0c8d11d55ef5280742626369edae1b,gate_v1,854c75c09f99a277eeba5bdd765011d0e543065a89be86cc5df75390a2246408,e223ac4563e55cbda15b26ea5023a3c6c0f47728,ASSET_SPECIFIC_APPROVED,36,0.6839666666666666666666666667,1.814306822600813584767665450,2716.910425502445000000,,2026-07-23T13:41:38.751852+00:00,2026-08-22T13:41:38.751852+00:00
breakout_sensitive,1.0.0,ETH/USDT,1d,RULE_BASED_MULTI_AGENT,n/a,standard_v1,meta_label_v1,89204a8e564e26781b5a9546f20d209174838a3bbf8a65f7b5f363a580a2d7e3,gate_v1,854c75c09f99a277eeba5bdd765011d0e543065a89be86cc5df75390a2246408,e223ac4563e55cbda15b26ea5023a3c6c0f47728,REJECTED,40,-0.5670333333333333333333333333,2.828839303728260715691640170,-2082.859100081705000000,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.5670333333333333333333333333<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-2082.859100081705000000,2026-07-23T13:41:38.751852+00:00,
breakout_strict,1.0.0,BTC/USDT,1d,RULE_BASED_MULTI_AGENT,n/a,standard_v1,meta_label_v1,1ae98d22e7469f0ffee99f04991979832a0c8d11d55ef5280742626369edae1b,gate_v1,c3ca2c77ddf824df656bd6b276a672913260322d0b902126bd3faf440a510d21,e223ac4563e55cbda15b26ea5023a3c6c0f47728,ASSET_SPECIFIC_APPROVED,35,0.7643,1.814306822600813584767665450,2859.681771002775000000,,2026-07-23T13:41:38.751852+00:00,2026-08-22T13:41:38.751852+00:00
breakout_strict,1.0.0,ETH/USDT,1d,RULE_BASED_MULTI_AGENT,n/a,standard_v1,meta_label_v1,89204a8e564e26781b5a9546f20d209174838a3bbf8a65f7b5f363a580a2d7e3,gate_v1,c3ca2c77ddf824df656bd6b276a672913260322d0b902126bd3faf440a510d21,e223ac4563e55cbda15b26ea5023a3c6c0f47728,REJECTED,38,-0.4023,1.90957109850186000,-1172.379444944165000000,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4023<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1172.379444944165000000,2026-07-23T13:41:38.751852+00:00,
conservative_regime,1.0.0,BTC/USDT,1d,RULE_BASED_MULTI_AGENT,n/a,standard_v1,meta_label_v1,1ae98d22e7469f0ffee99f04991979832a0c8d11d55ef5280742626369edae1b,gate_v1,2346ba159652e527da38d57298ca6842d6b8e893b357710d66fecaab427e7516,e223ac4563e55cbda15b26ea5023a3c6c0f47728,RESEARCH_ONLY,26,-0.3114333333333333333333333333,0.8289587247036751200022612312,253.028440357245000000,PROFITABLE_FOLD_RATIO_BELOW_MIN:1/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.3114333333333333333333333333<0.5,2026-07-23T13:41:38.751852+00:00,
conservative_regime,1.0.0,ETH/USDT,1d,RULE_BASED_MULTI_AGENT,n/a,standard_v1,meta_label_v1,89204a8e564e26781b5a9546f20d209174838a3bbf8a65f7b5f363a580a2d7e3,gate_v1,2346ba159652e527da38d57298ca6842d6b8e893b357710d66fecaab427e7516,e223ac4563e55cbda15b26ea5023a3c6c0f47728,REJECTED,28,-0.4689666666666666666666666667,1.490838438409907728523889882,-1139.477654890415000000,PROFITABLE_FOLD_RATIO_BELOW_MIN:1/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4689666666666666666666666667<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1139.477654890415000000,2026-07-23T13:41:38.751852+00:00,
