symbol,config_name,total_oos_trades,win_rate_pct,gross_return_bps_sum,net_return_bps_sum,total_cost_bps_sum,expectancy_bps,profit_factor,mean_oos_sharpe,worst_fold_drawdown_pct,profitable_folds,total_folds,stop_exit_ratio,take_profit_exit_ratio,timeout_exit_ratio,avg_holding_days,dominant_regime,dominant_regime_trade_ratio,negative_agents,gate_passed,gate_reasons,failure_reasons
BTC/USDT,aggressive_regime,40,45.00,4245.314905384382129047438847,3841.069590478997746918391408,404.2453149053843821290474391,96.0267397619749436729597852,1.493297248040744721615842220,0.6217,1.958480215014981779101231089,2,3,1,0,NOT_APPLICABLE,5.175,TREND_UP,0.875,reversion_agent_v1,True,,HIGH_STOP_LOSS_RATE;REGIME_DEPENDENCE;AGENT_SPECIFIC_LOSS
ETH/USDT,aggressive_regime,47,34.04255319148936170212765957,23.3857155838113366073489792,-446.6376701317724747292583703,470.0233857155838113366073492,-9.502929151739839887856561070,0.9630876946796153385792079289,-0.02853333333333333333333333333,2.243861066259568704869468537,2,3,1,0,NOT_APPLICABLE,3.446808510638297872340425532,TREND_UP,0.9574468085106382978723404255,,False,MEAN_OOS_SHARPE_BELOW_MIN:-0.02853333333333333333333333333<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-132.757610014735000000,NEGATIVE_EXPECTANCY;NEGATIVE_SHARPE;LOW_PROFIT_FACTOR;FEES_DOMINATE_EDGE;HIGH_STOP_LOSS_RATE;REGIME_DEPENDENCE
BTC/USDT,baseline,35,48.57142857142857142857142857,4963.738059662864784865442178,4608.774321603201920080576738,354.9637380596628647848654422,131.6792663315200548594450497,1.770855359434112262114939874,0.7635333333333333333333333333,1.814306822600813584767665450,2,3,1,0,NOT_APPLICABLE,5.485714285714285714285714286,TREND_UP,0.8285714285714285714285714286,reversion_agent_v1,True,,HIGH_STOP_LOSS_RATE;AGENT_SPECIFIC_LOSS
ETH/USDT,baseline,38,31.57894736842105263157894737,-1350.121993369005085088887216,-1728.771871375636080003798325,378.6498780066309949149111130,-45.49399661514831789483679803,0.8327033631333545940352777569,-0.4059333333333333333333333333,1.90957109850186000,0,3,1,0,NOT_APPLICABLE,3.421052631578947368421052632,TREND_UP,0.9473684210526315789473684211,trend_agent_v1,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4059333333333333333333333333<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1184.026970340860000000,NEGATIVE_EXPECTANCY;NEGATIVE_SHARPE;LOW_PROFIT_FACTOR;HIGH_STOP_LOSS_RATE;REGIME_DEPENDENCE;AGENT_SPECIFIC_LOSS
BTC/USDT,breakout_sensitive,36,47.22222222222222222222222222,4752.625813475112242756084944,4387.873187661637130513328860,364.7526258134751122427560850,121.8853663239343647364813572,1.707757923975247255129065944,0.6839666666666666666666666667,1.814306822600813584767665450,2,3,1,0,NOT_APPLICABLE,5.388888888888888888888888889,TREND_UP,0.8055555555555555555555555556,reversion_agent_v1,True,,HIGH_STOP_LOSS_RATE;AGENT_SPECIFIC_LOSS
ETH/USDT,breakout_sensitive,40,32.500,-2706.171096373211285946584399,-3103.464925276838074660637813,397.2938289036267887140534158,-77.58662313192095186651594532,0.7461430078468305567644862831,-0.5670333333333333333333333333,2.828839303728260715691640170,0,3,1,0,NOT_APPLICABLE,3.35,TREND_UP,0.9,breakout_agent_v1|trend_agent_v1,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.5670333333333333333333333333<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-2082.859100081705000000,NEGATIVE_EXPECTANCY;NEGATIVE_SHARPE;LOW_PROFIT_FACTOR;HIGH_STOP_LOSS_RATE;REGIME_DEPENDENCE;AGENT_SPECIFIC_LOSS
BTC/USDT,breakout_strict,35,48.57142857142857142857142857,4963.738059662864784865442178,4608.774321603201920080576738,354.9637380596628647848654422,131.6792663315200548594450497,1.770855359434112262114939874,0.7643,1.814306822600813584767665450,2,3,1,0,NOT_APPLICABLE,5.485714285714285714285714286,TREND_UP,0.8285714285714285714285714286,reversion_agent_v1,True,,HIGH_STOP_LOSS_RATE;AGENT_SPECIFIC_LOSS
ETH/USDT,breakout_strict,38,31.57894736842105263157894737,-1350.121993369005085088887216,-1728.771871375636080003798325,378.6498780066309949149111130,-45.49399661514831789483679803,0.8327033631333545940352777569,-0.4023,1.90957109850186000,0,3,1,0,NOT_APPLICABLE,3.421052631578947368421052632,TREND_UP,0.9473684210526315789473684211,trend_agent_v1,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4023<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1172.379444944165000000,NEGATIVE_EXPECTANCY;NEGATIVE_SHARPE;LOW_PROFIT_FACTOR;HIGH_STOP_LOSS_RATE;REGIME_DEPENDENCE;AGENT_SPECIFIC_LOSS
BTC/USDT,conservative_regime,26,42.30769230769230769230769231,619.7269181748923108161742064,359.1071912567174185053580350,260.6197269181748923108161743,13.81181504833528532712915519,1.076925817976074988727441702,-0.3114333333333333333333333333,0.8289587247036751200022612312,1,3,1,0,NOT_APPLICABLE,5.653846153846153846153846154,TREND_UP,0.7692307692307692307692307692,reversion_agent_v1,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:1/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.3114333333333333333333333333<0.5,NEGATIVE_SHARPE;HIGH_STOP_LOSS_RATE;SINGLE_FOLD_CONCENTRATION;AGENT_SPECIFIC_LOSS
ETH/USDT,conservative_regime,28,32.14285714285714285714285714,-1381.921131993124640123112316,-1660.539210861131515482989203,278.6180788680068753598768876,-59.30497181646898269582104296,0.7580706061091405573924663213,-0.4689666666666666666666666667,1.490838438409907728523889882,1,3,1,0,NOT_APPLICABLE,3.392857142857142857142857143,TREND_UP,0.8571428571428571428571428571,trend_agent_v1,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:1/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4689666666666666666666666667<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1139.477654890415000000,NEGATIVE_EXPECTANCY;NEGATIVE_SHARPE;LOW_PROFIT_FACTOR;HIGH_STOP_LOSS_RATE;REGIME_DEPENDENCE;AGENT_SPECIFIC_LOSS
BTC/USDT,high_conviction_only,35,48.57142857142857142857142857,4963.738059662864784865442178,4608.774321603201920080576738,354.9637380596628647848654422,131.6792663315200548594450497,1.770855359434112262114939874,0.7584,2.062986416878662379352939160,2,3,1,0,NOT_APPLICABLE,5.485714285714285714285714286,TREND_UP,0.8285714285714285714285714286,reversion_agent_v1,True,,HIGH_STOP_LOSS_RATE;AGENT_SPECIFIC_LOSS
ETH/USDT,high_conviction_only,38,31.57894736842105263157894737,-1350.121993369005085088887216,-1728.771871375636080003798325,378.6498780066309949149111130,-45.49399661514831789483679803,0.8327033631333545940352777569,-0.4055,2.16234300736584000,0,3,1,0,NOT_APPLICABLE,3.421052631578947368421052632,TREND_UP,0.9473684210526315789473684211,trend_agent_v1,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4055<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1345.405955133985000000,NEGATIVE_EXPECTANCY;NEGATIVE_SHARPE;LOW_PROFIT_FACTOR;HIGH_STOP_LOSS_RATE;REGIME_DEPENDENCE;AGENT_SPECIFIC_LOSS
BTC/USDT,low_conviction_admitted,35,48.57142857142857142857142857,4963.738059662864784865442178,4608.774321603201920080576738,354.9637380596628647848654422,131.6792663315200548594450497,1.770855359434112262114939874,0.7668,1.566318947844460498336159141,2,3,1,0,NOT_APPLICABLE,5.485714285714285714285714286,TREND_UP,0.8285714285714285714285714286,reversion_agent_v1,True,,HIGH_STOP_LOSS_RATE;AGENT_SPECIFIC_LOSS
ETH/USDT,low_conviction_admitted,38,31.57894736842105263157894737,-1350.121993369005085088887216,-1728.771871375636080003798325,378.6498780066309949149111130,-45.49399661514831789483679803,0.8327033631333545940352777569,-0.4063333333333333333333333333,1.65641318911938000,0,3,1,0,NOT_APPLICABLE,3.421052631578947368421052632,TREND_UP,0.9473684210526315789473684211,trend_agent_v1,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4063333333333333333333333333<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1023.302884945805000000,NEGATIVE_EXPECTANCY;NEGATIVE_SHARPE;LOW_PROFIT_FACTOR;HIGH_STOP_LOSS_RATE;REGIME_DEPENDENCE;AGENT_SPECIFIC_LOSS
