symbol,config_name,config_hash,passed,reasons,total_oos_trades,profitable_folds,total_folds,mean_oos_sharpe,worst_fold_drawdown_pct,aggregate_net_profit,deflated_sharpe_ratio,probability_of_backtest_overfitting,multiple_testing_warning
ETH/USDT,low_conviction_admitted,e8000e06d79922eef28a8aaa26407d5bf561d5f343a89387a19e159c01789cc7,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4246<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1064.092180291485000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000111<0.95,39,0,3,-0.4246,1.65641318911938000,-1064.092180291485000000,0.000111,0.0,
BTC/USDT,mean_reversion_focus,f0bc4bdbe5483758d0777bfc4f3bab31ddc036c6c318dcafea1ac7dfbf6b3645,False,DEFLATED_SHARPE_RATIO_BELOW_MIN:0.650773<0.95,35,2,3,0.5718,1.699587259371791464600425934,1917.850596504045000000,0.650773,0.0,
ETH/USDT,mean_reversion_focus,f0bc4bdbe5483758d0777bfc4f3bab31ddc036c6c318dcafea1ac7dfbf6b3645,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4432666666666666666666666667<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1056.207515989020000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000076<0.95,39,0,3,-0.4432666666666666666666666667,1.58049947398452000,-1056.207515989020000000,0.000076,0.0,
BTC/USDT,momentum_focus,fd99c5e143f5b51401f4288d0642d156787bfd972800d4f9d5cd7b2de05de14f,True,,35,2,3,0.8311333333333333333333333333,1.853343793900156478948578546,3366.484498610520000000,0.951939,0.0,
ETH/USDT,momentum_focus,fd99c5e143f5b51401f4288d0642d156787bfd972800d4f9d5cd7b2de05de14f,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4104666666666666666666666667<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1308.575607327075000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000148<0.95,39,0,3,-0.4104666666666666666666666667,2.08652131746324000,-1308.575607327075000000,0.000148,0.0,
BTC/USDT,reversion_loose_bands,8ff4e821ac59b9a4abcc3318d43f8da3aa43a0714388b5d5cd111b713e763571,True,,30,2,3,0.9778333333333333333333333333,1.252620685653641909281221391,3558.320595679920000000,0.982825,0.0,
ETH/USDT,reversion_loose_bands,8ff4e821ac59b9a4abcc3318d43f8da3aa43a0714388b5d5cd111b713e763571,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4300666666666666666666666667<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1243.724641867995000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000121<0.95,38,0,3,-0.4300666666666666666666666667,1.90957109850186000,-1243.724641867995000000,0.000121,0.0,
BTC/USDT,reversion_tight_bands,87b01b89f5e470bd166fc274ee69aef928dd05daa51a563d0cd74a274e961309,False,DEFLATED_SHARPE_RATIO_BELOW_MIN:0.913312<0.95,36,2,3,0.7615,1.781099714324905167100639389,2872.004127923130000000,0.913312,0.0,
ETH/USDT,reversion_tight_bands,87b01b89f5e470bd166fc274ee69aef928dd05daa51a563d0cd74a274e961309,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.5637333333333333333333333333<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1599.375121374810000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000004<0.95,41,0,3,-0.5637333333333333333333333333,1.90957109850186000,-1599.375121374810000000,0.000004,0.0,
BTC/USDT,tight_risk_structure,6414070e29641f26081343ef281be29273173f2ffcd49abcbb661600e0060f69,False,DEFLATED_SHARPE_RATIO_BELOW_MIN:0.893377<0.95,35,2,3,0.7411333333333333333333333333,2.557437364949641122653512579,3959.356083990660000000,0.893377,0.0,
ETH/USDT,tight_risk_structure,6414070e29641f26081343ef281be29273173f2ffcd49abcbb661600e0060f69,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4236<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1751.799102181005000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000114<0.95,39,0,3,-0.4236,2.68322181295698000,-1751.799102181005000000,0.000114,0.0,
BTC/USDT,trend_confidence_high,32b16dfb0d099c271e996c9fe48ab9a43f0ad0bfe75f2084868bc22a88d8a50c,False,DEFLATED_SHARPE_RATIO_BELOW_MIN:0.93053<0.95,35,2,3,0.7909,1.981734020109928922384351428,3359.914201208700000000,0.93053,0.0,
ETH/USDT,trend_confidence_high,32b16dfb0d099c271e996c9fe48ab9a43f0ad0bfe75f2084868bc22a88d8a50c,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4076<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1346.353183187970000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000157<0.95,39,0,3,-0.4076,2.16234300736584000,-1346.353183187970000000,0.000157,0.0,
BTC/USDT,trend_confidence_low,173b4bcef2c8d64ccb50d19780df2307cfa0073985a173662e5e89455967175b,False,DEFLATED_SHARPE_RATIO_BELOW_MIN:0.823781<0.95,35,2,3,0.6769333333333333333333333333,1.648264823763139394584601194,2283.586177471515000000,0.823781,0.0,
ETH/USDT,trend_confidence_low,173b4bcef2c8d64ccb50d19780df2307cfa0073985a173662e5e89455967175b,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4452666666666666666666666667<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-1116.582338036355000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000073<0.95,39,0,3,-0.4452666666666666666666666667,1.65641318911938000,-1116.582338036355000000,0.000073,0.0,
BTC/USDT,wide_risk_structure,baf4f650b36c781ffa23e4ce7fd964ed540ac966b611195b09df0017f40f2433,False,DEFLATED_SHARPE_RATIO_BELOW_MIN:0.896144<0.95,35,2,3,0.7443,1.307374265280137253121526810,2037.708266578590000000,0.896144,0.0,
ETH/USDT,wide_risk_structure,baf4f650b36c781ffa23e4ce7fd964ed540ac966b611195b09df0017f40f2433,False,PROFITABLE_FOLD_RATIO_BELOW_MIN:0/3;MEAN_OOS_SHARPE_BELOW_MIN:-0.4246333333333333333333333333<0.5;AGGREGATE_NET_PNL_NOT_POSITIVE:-881.628233758275000000;DEFLATED_SHARPE_RATIO_BELOW_MIN:0.000111<0.95,39,0,3,-0.4246333333333333333333333333,1.37946181208373000,-881.628233758275000000,0.000111,0.0,
